entity_group,score,word,start,end,correct_label
Age,0.95483637,20 - year - old,22,33,Age
Lab_value,0.5579258,68,51,53,Weight
Clinical_event,0.9677404,admitted,96,104,Clinical_event
Nonbiological_location,0.9982085,intensive care unit,112,131,Nonbiological_location
Detailed_description,0.9096181,ref,136,139,Detailed_description
Diagnostic_procedure,0.49805224,status,147,153,
Disease_disorder,0.98514277,ep,154,156,Disease_disorder
Disease_disorder,0.941602,##ile,156,159,Disease_disorder
Disease_disorder,0.98391646,##us,163,165,Disease_disorder
Dosage,0.99779886,three doses,174,185,Dosage
Administration,0.9022809,sub,189,192,Administration
Medication,0.96427464,lorazepam,202,211,Medication
Dosage,0.76020247,1 mg,215,219,Dosage
Disease_disorder,0.8405529,ence,297,301,Disease_disorder
Disease_disorder,0.7706742,##litis,304,309,Disease_disorder
Medication,0.9854392,medications,415,426,Medication
Medication,0.84431535,je,449,451,Therapeutic_procedure
Therapeutic_procedure,0.9020573,##al feeding,487,497,Therapeutic_procedure
Therapeutic_procedure,0.9671641,je,506,508,Therapeutic_procedure
Therapeutic_procedure,0.8925975,##jun,508,511,Therapeutic_procedure
Medication,0.7710425,medications,543,554,Medication
Sign_symptom,0.76064026,status,648,654,Sign_symptom
Disease_disorder,0.87407684,ep,655,657,Sign_symptom
Date,0.7694171,months,673,679,Date
Dosage,0.99811196,175 mg,724,730,Dosage
Medication,0.9990735,ph,734,736,Medication
Medication,0.946335,##enytoin,736,743,Medication
Dosage,0.9949746,1500 mg,778,785,Dosage
Medication,0.99915993,lev,789,792,Medication
Medication,0.9746511,##etiracetam,792,802,Medication
Medication,0.9993674,cl,816,818,Medication
Medication,0.83625144,##obazam,818,824,Medication
Dosage,0.99900854,30 mg,825,830,Dosage
Dosage,0.7117758,morning,838,845,Time
Dosage,0.98993814,40 mg,850,855,Dosage
Dosage,0.998685,50 mg,872,877,Dosage
Medication,0.905551,amantadine,881,891,Medication
Dosage,0.998806,40 mg,931,936,Dosage
Medication,0.9997663,es,940,942,Medication
Medication,0.98593014,##omeprazole,942,952,Medication
Dosage,0.8103886,units,969,974,Dosage
Dosage,0.9950981,250 mg,993,999,Dosage
Sign_symptom,0.99989676,seizures,1083,1091,Sign_symptom
Medication,0.65638494,phen,1127,1131,Medication
Medication,0.8703981,##oin,1133,1136,Medication
Therapeutic_procedure,0.8362299,feeding,1401,1408,Therapeutic_procedure
Medication,0.8674921,phen,1413,1417,Medication
Medication,0.7277846,##oin,1419,1422,Medication
Medication,0.91919976,je,1442,1444,Therapeutic_procedure
Medication,0.46050343,##jun,1444,1447,Therapeutic_procedure
Administration,0.99442565,intra,1548,1553,Administration
Administration,0.53115606,infusion,1560,1568,Administration
Medication,0.98998785,propofol,1572,1580,Medication
Dosage,0.76922965,mg,1598,1600,Dosage
Diagnostic_procedure,0.49874833,ph,1640,1642,Diagnostic_procedure
Diagnostic_procedure,0.90085137,blood sample,1678,1690,Diagnostic_procedure
Diagnostic_procedure,0.89291036,ph,1735,1737,Diagnostic_procedure
Lab_value,0.9771942,27,1754,1756,Lab_value
Detailed_description,0.8027332,- to,1828,1831,Detailed_description
Lab_value,0.99449366,38,1847,1849,Lab_value
Medication,0.99527514,ph,1974,1976,Medication
Medication,0.89684695,##enytoin,1976,1983,Medication
Medication,0.92967933,je,1988,1990,Therapeutic_procedure
Medication,0.3950598,##jun,1990,1993,Therapeutic_procedure
Medication,0.7193991,##omy,1996,1999,Therapeutic_procedure
Dosage,0.9582712,650 mg,2003,2009,Dosage
Dosage,0.9708769,mg,2063,2065,Dosage
Medication,0.7662688,jejun,2070,2075,Therapeutic_procedure
Medication,0.8384532,##omy,2078,2081,Therapeutic_procedure
